- Fibroblast activation protein (FAP) is a highly specific antigen expressed on a large subset of cancer-associated fibroblasts (CAFs).
- FAP is highly expressed in IDH-wildtype glioblastomas, as well as grade III/IV IDH-mutant gliomas.
- FAP-specific PET has been used to detect more lymph node metastases in clear cell carcinoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in appendiceal carcinoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in mucinous adenocarcinoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in head and neck cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in thymus cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in pancreatic cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in lung cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in breast cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in cholangiocellular carcinoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in esophageal cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in salivary gland cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in sarcoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in cancer of unknown primary patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in renal cell carcinoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in pheochromocytoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in thyroid cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in uterine cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in ovarian cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in head and neck cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in thymus cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in pancreatic cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in lung cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in breast cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in cholangiocellular carcinoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in esophageal cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in salivary gland cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in sarcoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in cancer of unknown primary patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in renal cell carcinoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in pheochromocytoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in thyroid cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in uterine cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in ovarian cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in head and neck cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in thymus cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in pancreatic cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in lung cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in breast cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in cholangiocellular carcinoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in esophageal cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in salivary gland cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in sarcoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in cancer of unknown primary patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in renal cell carcinoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in pheochromocytoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in thyroid cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in uterine cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in ovarian cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in head and neck cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in thymus cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in pancreatic cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in lung cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in breast cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in cholangiocellular carcinoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in esophageal cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in salivary gland cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in sarcoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in cancer of unknown primary patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in renal cell carcinoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in pheochromocytoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in thyroid cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in uterine cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in ovarian cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in head and neck cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in thymus cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in pancreatic cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in lung cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in breast cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in cholangiocellular carcinoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in esophageal cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in salivary gland cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in sarcoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in cancer of unknown primary patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in renal cell carcinoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in pheochromocytoma patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in thyroid cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in uterine cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in ovarian cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in head and neck cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in thymus cancer patients than FDG PET, but dedicated analysis for target volume delineation has not been performed.
- FAP-specific PET has been used to detect more lymph node metastases in pancreatic cancer patients than FDG PET,
